"","country","location_name","date.time","date","sunrise_dt","sunset_dt","day.night","temperature_celsius","condition_text","wind_kph","wind_direction","pressure_mb","humidity","air_quality_Nitrogen_dioxide","lod_less2","lod_less1.8","lod_less1"
"1","Australia","Canberra",2024-05-16 18:45:00,2024-05-16,2024-05-16 06:52:00,2024-05-16 17:07:00,"Nighttime",9,"Clear",4,"E",1027,87,15.1,">=2",">=1.8",">=1.0"
"2","New Zealand","Wellington",2024-05-16 20:45:00,2024-05-16,2024-05-16 07:24:00,2024-05-16 17:11:00,"Nighttime",13,"Partly cloudy",37.1,"S",1019,77,0.9,"<2","<1.8","<1.0"
"3","Australia","Canberra",2024-05-17,2024-05-17,2024-05-17 06:52:00,2024-05-17 17:07:00,"Nighttime",5,"Clear",3.6,"N",1027,100,20.7,">=2",">=1.8",">=1.0"
"4","New Zealand","Wellington",2024-05-17 02:00:00,2024-05-17,2024-05-17 07:24:00,2024-05-17 17:11:00,"Nighttime",12,"Partly cloudy",24.1,"S",1022,67,0.4,"<2","<1.8","<1.0"
"5","Australia","Canberra",2024-05-18 02:00:00,2024-05-18,2024-05-18 06:53:00,2024-05-18 17:06:00,"Nighttime",7,"Overcast",9,"SSE",1023,66,1,"<2","<1.8",">=1.0"
"6","New Zealand","Wellington",2024-05-18 04:00:00,2024-05-18,2024-05-18 07:25:00,2024-05-18 17:10:00,"Nighttime",13,"Partly cloudy",46.1,"N",1016,67,0.1,"<2","<1.8","<1.0"
"7","New Zealand","Wellington",2024-05-19 02:30:00,2024-05-19,2024-05-19 07:25:00,2024-05-19 17:09:00,"Nighttime",12,"Partly cloudy",15.1,"SE",1020,82,1,"<2","<1.8",">=1.0"
"8","Australia","Canberra",2024-05-20,2024-05-20,2024-05-20 06:54:00,2024-05-20 17:05:00,"Nighttime",-1,"Clear",11.2,"ESE",1022,93,12.2,">=2",">=1.8",">=1.0"
"9","New Zealand","Wellington",2024-05-20 02:15:00,2024-05-20,2024-05-20 07:26:00,2024-05-20 17:08:00,"Nighttime",8,"Clear",9,"N",1018,93,19.4,">=2",">=1.8",">=1.0"
"10","Australia","Canberra",2024-05-21 00:45:00,2024-05-21,2024-05-21 06:55:00,2024-05-21 17:04:00,"Nighttime",3,"Clear",4,"NNW",1027,93,1.4,"<2","<1.8",">=1.0"
"11","New Zealand","Wellington",2024-05-21 02:45:00,2024-05-21,2024-05-21 07:27:00,2024-05-21 17:08:00,"Nighttime",14,"Partly cloudy",9,"SE",1012,72,2.2,">=2",">=1.8",">=1.0"
"12","Australia","Canberra",2024-05-22 00:45:00,2024-05-22,2024-05-22 06:56:00,2024-05-22 17:04:00,"Nighttime",7,"Overcast",13,"ESE",1027,76,8.1,">=2",">=1.8",">=1.0"
"13","New Zealand","Wellington",2024-05-22 02:45:00,2024-05-22,2024-05-22 07:28:00,2024-05-22 17:07:00,"Nighttime",11,"Light rain",56.2,"S",1009,94,0.3,"<2","<1.8","<1.0"
